CustomerID,UnitPrice,Recency,Frequency,DaysBtwVisit,r_quartile,f_quartile,m_quartile,RFM_Score,Segment
12346.0,2.08,347,148430,0.0,1,1,1,111,Churned Customers
12347.0,481.21,24,2458,1.738888888888889,3,1,3,313,Potential Loyal Customers
12348.0,178.70999999999998,97,2341,8.379310344827585,2,1,3,213,At Risk Customers
12349.0,605.1,40,631,0.0,3,1,3,313,Potential Loyal Customers
12350.0,65.3,332,197,0.0,1,2,2,122,Churned Customers
12352.0,2211.1000000000004,58,602,2.74468085106383,3,1,3,313,Potential Loyal Customers
12353.0,24.299999999999997,226,20,0.0,1,3,2,132,Churned Customers
12354.0,261.21999999999986,254,530,0.0,1,1,3,113,Churned Customers
12355.0,54.650000000000006,236,240,0.0,1,2,2,122,Churned Customers
12356.0,188.86999999999995,44,1591,5.206896551724138,3,1,3,313,Potential Loyal Customers
12357.0,438.6699999999994,55,2708,0.0,3,1,3,313,Potential Loyal Customers
12358.0,157.21000000000004,23,248,8.277777777777779,3,2,2,322,New Customers
12359.0,2225.110000000001,29,1632,1.2687747035573123,3,1,3,313,Potential Loyal Customers
12360.0,457.9100000000001,74,1165,1.15625,2,1,3,213,At Risk Customers
12361.0,33.35,309,91,0.0,1,2,2,122,Churned Customers
12362.0,1083.2900000000002,25,2246,1.0512820512820513,3,1,3,313,Potential Loyal Customers
12363.0,53.17000000000001,131,408,6.0,2,1,2,212,At Risk Customers
12364.0,162.3699999999997,29,1506,1.2261904761904763,3,1,2,312,New Customers
12365.0,698.0,313,175,0.0,1,2,3,123,Churned Customers
12367.0,35.2,26,173,0.0,3,2,2,322,New Customers
12370.0,467.6499999999999,73,2353,1.3636363636363635,2,1,3,213,At Risk Customers
12371.0,244.08000000000004,66,591,0.22580645161290322,3,1,3,313,Potential Loyal Customers
12372.0,156.07000000000005,93,794,4.392156862745098,2,1,2,212,At Risk Customers
12373.0,64.14999999999999,333,197,0.0,1,2,2,122,Churned Customers
12374.0,139.25,47,342,0.0,3,2,2,322,New Customers
12375.0,119.6,24,179,5.588235294117647,3,2,2,322,New Customers
12377.0,209.3499999999999,337,944,0.0,1,1,3,113,Churned Customers
12378.0,656.44,151,2529,0.0,2,1,3,213,At Risk Customers
12379.0,116.60000000000007,103,408,2.175,2,1,2,212,At Risk Customers
12380.0,355.6299999999999,43,1128,1.5576923076923077,3,1,3,313,Potential Loyal Customers
12381.0,417.03999999999985,26,833,1.2444444444444445,3,1,3,313,Potential Loyal Customers
12383.0,309.3599999999999,206,1535,1.4795918367346939,2,1,3,213,At Risk Customers
12384.0,227.26999999999998,50,131,3.1379310344827585,3,2,3,323,Potential Loyal Customers
12386.0,23.91,359,354,0.0,1,2,2,122,Churned Customers
12388.0,277.76999999999987,37,1462,3.121212121212121,3,1,3,313,Potential Loyal Customers
12390.0,127.90000000000002,101,353,0.0,2,2,2,222,At Risk Customers
12391.0,245.99000000000004,43,300,0.0,3,2,3,323,Potential Loyal Customers
12393.0,145.90000000000006,94,816,4.111111111111111,2,1,2,212,At Risk Customers
12394.0,91.01,85,819,5.884615384615385,2,1,2,212,At Risk Customers
12395.0,629.5899999999999,37,2123,2.1019108280254777,3,1,3,313,Potential Loyal Customers
12397.0,436.99999999999955,57,1263,0.792,3,1,3,313,Potential Loyal Customers
12398.0,169.38000000000005,67,1394,0.0,3,1,2,312,New Customers
12399.0,124.75999999999999,141,1178,2.4482758620689653,2,1,2,212,At Risk Customers
12401.0,48.4,325,11,0.0,1,3,2,132,Churned Customers
12402.0,36.199999999999996,345,94,0.0,1,2,2,122,Churned Customers
12403.0,53.400000000000006,71,97,0.0,2,2,2,222,At Risk Customers
12405.0,191.39000000000001,170,857,0.0,2,1,3,213,At Risk Customers
12406.0,305.98999999999995,44,1827,1.4953271028037383,3,1,3,313,Potential Loyal Customers
12407.0,251.58999999999995,71,1416,2.789473684210526,2,1,3,213,At Risk Customers
12408.0,353.4799999999998,54,1419,2.0089285714285716,3,1,3,313,Potential Loyal Customers
12409.0,402.0399999999999,100,5559,0.9026548672566371,2,1,3,213,At Risk Customers
12410.0,176.97000000000003,323,213,0.25925925925925924,1,2,3,123,Churned Customers
12412.0,165.54000000000002,96,829,1.55,2,1,2,212,At Risk Customers
12413.0,210.28999999999996,88,290,6.897435897435898,2,2,3,223,At Risk Customers
12414.0,154.26000000000002,239,300,5.411764705882353,1,2,2,122,Churned Customers
12415.0,2499.820000000003,46,78098,0.3886743886743887,3,1,3,313,Potential Loyal Customers
12417.0,1074.230000000001,25,1565,1.6785714285714286,3,1,3,313,Potential Loyal Customers
12418.0,121.19000000000004,134,407,0.0,2,1,2,212,At Risk Customers
12420.0,136.51000000000002,85,345,0.0,2,2,2,222,At Risk Customers
12421.0,204.18,37,485,6.688888888888889,3,1,3,313,Potential Loyal Customers
12422.0,127.15000000000002,117,370,6.0,2,2,2,222,At Risk Customers
12423.0,365.05000000000024,22,1351,2.314516129032258,3,1,3,313,Potential Loyal Customers
12424.0,83.42000000000003,184,740,0.0,2,1,2,212,At Risk Customers
12425.0,92.32000000000004,100,496,0.0,2,1,2,212,At Risk Customers
12426.0,118.09,216,258,0.0,1,2,2,122,Churned Customers
12427.0,161.17000000000004,33,830,2.0303030303030303,3,1,2,312,New Customers
12428.0,1418.790000000001,47,3569,0.8461538461538461,3,1,3,313,Potential Loyal Customers
12429.0,352.1799999999997,31,1557,2.294736842105263,3,1,3,313,Potential Loyal Customers
12430.0,68.48,65,117,0.0,3,2,2,322,New Customers
12431.0,902.000000000001,57,2968,1.2142857142857142,3,1,3,313,Potential Loyal Customers
12432.0,1139.4900000000005,64,1801,1.1962616822429906,3,1,3,313,Potential Loyal Customers
12433.0,920.9500000000007,22,11071,0.22966507177033493,3,1,3,313,Potential Loyal Customers
12434.0,198.1299999999999,106,415,3.3653846153846154,2,1,3,213,At Risk Customers
12435.0,197.25,101,2055,5.371428571428571,2,1,3,213,At Risk Customers
12436.0,84.28,121,211,0.0,2,2,2,222,At Risk Customers
12437.0,809.4500000000004,23,2928,1.605,3,1,3,313,Potential Loyal Customers
12438.0,381.69999999999993,36,1180,1.288659793814433,3,1,3,313,Potential Loyal Customers
12441.0,40.71,388,121,0.0,1,2,2,122,Churned Customers
12442.0,40.08,25,182,0.0,3,2,2,322,New Customers
12444.0,1119.1300000000015,43,1155,0.8465909090909091,3,1,3,313,Potential Loyal Customers
12445.0,31.95,44,62,0.0,3,2,2,322,New Customers
12446.0,248.1,79,352,0.0,2,2,3,223,At Risk Customers
12447.0,92.92999999999999,265,190,0.0,1,2,2,122,Churned Customers
12448.0,130.94,66,243,0.0,3,2,2,322,New Customers
12449.0,705.6900000000004,44,1553,0.8578947368421053,3,1,3,313,Potential Loyal Customers
12450.0,12.940000000000001,178,128,2.4285714285714284,2,2,2,222,At Risk Customers
12451.0,868.1800000000002,32,6695,0.8757062146892656,3,1,3,313,Potential Loyal Customers
12452.0,99.67,38,187,0.0,3,2,2,322,New Customers
12453.0,102.91000000000004,156,473,0.0,2,1,2,212,At Risk Customers
12454.0,218.46,75,2012,0.06896551724137931,2,1,3,213,At Risk Customers
12455.0,285.60000000000025,95,2089,2.4831460674157304,2,1,3,213,At Risk Customers
12456.0,461.36999999999955,66,1650,1.6328125,3,1,3,313,Potential Loyal Customers
12457.0,352.36999999999966,80,993,2.626865671641791,2,1,3,213,At Risk Customers
12458.0,164.40000000000003,93,506,5.756756756756757,2,1,2,212,At Risk Customers
12461.0,149.06000000000003,116,287,1.7647058823529411,2,2,2,222,At Risk Customers
12462.0,332.4199999999999,24,558,4.211267605633803,3,1,3,313,Potential Loyal Customers
12463.0,269.9099999999999,68,795,2.1954022988505746,2,1,3,213,At Risk Customers
12464.0,343.1499999999999,32,112,10.571428571428571,3,2,3,323,Potential Loyal Customers
12465.0,138.01999999999995,29,483,3.22,3,1,2,312,New Customers
12468.0,139.07000000000005,165,368,4.410256410256411,2,2,2,222,At Risk Customers
12471.0,2266.870000000005,24,8459,0.6370510396975425,3,1,3,313,Potential Loyal Customers
12472.0,970.1199999999994,52,4276,0.7300771208226221,3,1,3,313,Potential Loyal Customers
12473.0,2437.8399999999997,51,2515,0.898876404494382,3,1,3,313,Potential Loyal Customers
