CustomerID,UnitPrice,Recency,Frequency,DaysBtwVisit,Segment
12346.0,2.08,347,148430,0.0,2
12347.0,481.21,24,2458,1.738888888888889,0
12348.0,178.70999999999998,97,2341,8.379310344827585,0
12349.0,605.1,40,631,0.0,0
12350.0,65.3,332,197,0.0,3
12352.0,2211.1000000000004,58,602,2.74468085106383,0
12353.0,24.299999999999997,226,20,0.0,3
12354.0,261.21999999999986,254,530,0.0,3
12355.0,54.650000000000006,236,240,0.0,3
12356.0,188.86999999999995,44,1591,5.206896551724138,0
12357.0,438.6699999999994,55,2708,0.0,0
12358.0,157.21000000000004,23,248,8.277777777777779,0
12359.0,2225.110000000001,29,1632,1.2687747035573123,0
12360.0,457.9100000000001,74,1165,1.15625,0
12361.0,33.35,309,91,0.0,3
12362.0,1083.2900000000002,25,2246,1.0512820512820513,0
12363.0,53.17000000000001,131,408,6.0,0
12364.0,162.3699999999997,29,1506,1.2261904761904763,0
12365.0,698.0,313,175,0.0,3
12367.0,35.2,26,173,0.0,0
12370.0,467.6499999999999,73,2353,1.3636363636363635,0
12371.0,244.08000000000004,66,591,0.22580645161290322,0
12372.0,156.07000000000005,93,794,4.392156862745098,0
12373.0,64.14999999999999,333,197,0.0,3
12374.0,139.25,47,342,0.0,0
12375.0,119.6,24,179,5.588235294117647,0
12377.0,209.3499999999999,337,944,0.0,3
12378.0,656.44,151,2529,0.0,0
12379.0,116.60000000000007,103,408,2.175,0
12380.0,355.6299999999999,43,1128,1.5576923076923077,0
12381.0,417.03999999999985,26,833,1.2444444444444445,0
12383.0,309.3599999999999,206,1535,1.4795918367346939,3
12384.0,227.26999999999998,50,131,3.1379310344827585,0
12386.0,23.91,359,354,0.0,3
12388.0,277.76999999999987,37,1462,3.121212121212121,0
12390.0,127.90000000000002,101,353,0.0,0
12391.0,245.99000000000004,43,300,0.0,0
12393.0,145.90000000000006,94,816,4.111111111111111,0
12394.0,91.01,85,819,5.884615384615385,0
12395.0,629.5899999999999,37,2123,2.1019108280254777,0
12397.0,436.99999999999955,57,1263,0.792,0
12398.0,169.38000000000005,67,1394,0.0,0
12399.0,124.75999999999999,141,1178,2.4482758620689653,0
12401.0,48.4,325,11,0.0,3
12402.0,36.199999999999996,345,94,0.0,3
12403.0,53.400000000000006,71,97,0.0,0
12405.0,191.39000000000001,170,857,0.0,0
12406.0,305.98999999999995,44,1827,1.4953271028037383,0
12407.0,251.58999999999995,71,1416,2.789473684210526,0
12408.0,353.4799999999998,54,1419,2.0089285714285716,0
12409.0,402.0399999999999,100,5559,0.9026548672566371,0
12410.0,176.97000000000003,323,213,0.25925925925925924,3
12412.0,165.54000000000002,96,829,1.55,0
12413.0,210.28999999999996,88,290,6.897435897435898,0
12414.0,154.26000000000002,239,300,5.411764705882353,3
12415.0,2499.820000000003,46,78098,0.3886743886743887,2
12417.0,1074.230000000001,25,1565,1.6785714285714286,0
12418.0,121.19000000000004,134,407,0.0,0
12420.0,136.51000000000002,85,345,0.0,0
12421.0,204.18,37,485,6.688888888888889,0
12422.0,127.15000000000002,117,370,6.0,0
12423.0,365.05000000000024,22,1351,2.314516129032258,0
12424.0,83.42000000000003,184,740,0.0,3
12425.0,92.32000000000004,100,496,0.0,0
12426.0,118.09,216,258,0.0,3
12427.0,161.17000000000004,33,830,2.0303030303030303,0
12428.0,1418.790000000001,47,3569,0.8461538461538461,0
12429.0,352.1799999999997,31,1557,2.294736842105263,0
12430.0,68.48,65,117,0.0,0
12431.0,902.000000000001,57,2968,1.2142857142857142,0
12432.0,1139.4900000000005,64,1801,1.1962616822429906,0
12433.0,920.9500000000007,22,11071,0.22966507177033493,0
12434.0,198.1299999999999,106,415,3.3653846153846154,0
12435.0,197.25,101,2055,5.371428571428571,0
12436.0,84.28,121,211,0.0,0
12437.0,809.4500000000004,23,2928,1.605,0
12438.0,381.69999999999993,36,1180,1.288659793814433,0
12441.0,40.71,388,121,0.0,3
12442.0,40.08,25,182,0.0,0
12444.0,1119.1300000000015,43,1155,0.8465909090909091,0
12445.0,31.95,44,62,0.0,0
12446.0,248.1,79,352,0.0,0
12447.0,92.92999999999999,265,190,0.0,3
12448.0,130.94,66,243,0.0,0
12449.0,705.6900000000004,44,1553,0.8578947368421053,0
12450.0,12.940000000000001,178,128,2.4285714285714284,3
12451.0,868.1800000000002,32,6695,0.8757062146892656,0
12452.0,99.67,38,187,0.0,0
12453.0,102.91000000000004,156,473,0.0,0
12454.0,218.46,75,2012,0.06896551724137931,0
12455.0,285.60000000000025,95,2089,2.4831460674157304,0
12456.0,461.36999999999955,66,1650,1.6328125,0
12457.0,352.36999999999966,80,993,2.626865671641791,0
12458.0,164.40000000000003,93,506,5.756756756756757,0
12461.0,149.06000000000003,116,287,1.7647058823529411,0
12462.0,332.4199999999999,24,558,4.211267605633803,0
12463.0,269.9099999999999,68,795,2.1954022988505746,0
12464.0,343.1499999999999,32,112,10.571428571428571,0
12465.0,138.01999999999995,29,483,3.22,0
12468.0,139.07000000000005,165,368,4.410256410256411,0
12471.0,2266.870000000005,24,8459,0.6370510396975425,0
12472.0,970.1199999999994,52,4276,0.7300771208226221,0
12473.0,2437.8399999999997,51,2515,0.898876404494382,0
12474.0,1331.7000000000025,39,4930,0.6615384615384615,0
12475.0,105.88000000000001,75,535,0.0,0
12476.0,1306.9300000000017,23,2479,1.16793893129771,0
12477.0,1333.8700000000017,44,3686,0.9283387622149837,0
12478.0,163.36000000000004,25,236,0.0,0
12479.0,91.43,25,419,0.20588235294117646,0
12480.0,482.6999999999998,50,1707,2.0065359477124183,0
12481.0,741.4399999999998,44,3318,1.4861111111111112,0
12483.0,484.21000000000015,39,1123,3.95,0
12484.0,1114.0800000000027,54,2197,0.8567335243553008,0
12488.0,205.4099999999999,31,529,1.2037037037037037,0
12489.0,88.62000000000002,358,105,0.0,3
12490.0,659.7500000000001,27,3064,1.3155737704918034,0
12491.0,87.80000000000003,60,260,0.0,0
12492.0,66.95000000000002,85,192,2.210526315789474,0
12493.0,111.75000000000001,187,208,1.3636363636363635,3
